epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6444,4.55951,44.6132,1.68988,0.00053,0.06115,0.00028,7e-05,3.26464,10.8663,1.11457,0.08911,0.00011,0.00011
2,64.8427,3.76387,16.0312,1.3524,0.13247,0.34395,0.08953,0.02496,2.89965,6.24818,1.07288,0.0772262,0.000226205,0.000226205
3,96.4696,2.60678,1.82225,0.99438,0.4964,0.38217,0.32307,0.10427,2.64579,3.70694,1.03502,0.0653384,0.00033845,0.00033845
4,127.726,2.36438,1.61552,0.97057,0.36759,0.38344,0.2495,0.06975,2.91841,6.38002,1.09723,0.0534467,0.000446735,0.000446735
5,156.132,2.34592,1.53736,0.96264,0.34649,0.40255,0.23229,0.06044,3.02581,10.2349,1.04746,0.0415511,0.00055106,0.00055106
6,174.915,2.35954,1.62433,0.952,0.56688,0.51592,0.46997,0.14145,2.48966,3.6724,0.97475,0.0296514,0.000651425,0.000651425
7,193.689,2.2885,1.37771,0.93567,0.4908,0.49554,0.39402,0.12015,2.63198,2.8405,0.9922,0.0177478,0.00074783,0.00074783
8,213.062,2.16193,1.41204,0.92354,0.56855,0.512,0.46115,0.15719,2.44246,2.40854,0.97985,0.00584027,0.000840275,0.000840275
9,232.157,2.20783,1.36169,0.92077,0.51589,0.46624,0.41064,0.12253,2.60925,1.91423,0.96762,0.000868,0.000868,0.000868
10,250.84,2.17871,1.25084,0.92488,0.58023,0.50446,0.47376,0.15007,2.53228,2.75257,0.97674,0.0008515,0.0008515,0.0008515
11,271.408,2.18658,1.32689,0.91028,0.63583,0.55541,0.53563,0.18128,2.28885,1.68649,0.95952,0.000835,0.000835,0.000835
12,300.382,2.13796,1.32337,0.92264,0.61173,0.574,0.56071,0.19279,2.29931,1.66306,0.95844,0.0008185,0.0008185,0.0008185
13,332.079,2.14584,1.25688,0.91453,0.65706,0.54268,0.55383,0.19467,2.23853,1.44068,0.95066,0.000802,0.000802,0.000802
14,363.652,2.06712,1.17951,0.92205,0.64213,0.52573,0.50126,0.16324,2.47743,1.42418,0.9442,0.0007855,0.0007855,0.0007855
15,395.032,2.10226,1.21738,0.90983,0.64812,0.50318,0.50521,0.17851,2.41156,1.56921,0.95682,0.000769,0.000769,0.000769
16,426.082,2.04951,1.10397,0.90853,0.62213,0.56815,0.55247,0.18549,2.24515,1.38556,0.94519,0.0007525,0.0007525,0.0007525
17,457.853,2.13537,1.18467,0.91554,0.61544,0.51578,0.52534,0.1701,2.45973,1.36693,0.96204,0.000736,0.000736,0.000736
18,485.958,1.99661,1.07586,0.89462,0.69589,0.57452,0.58678,0.19064,2.23739,1.41284,0.93717,0.0007195,0.0007195,0.0007195
19,504.504,2.00986,1.11924,0.90684,0.71421,0.5758,0.59336,0.21453,2.16407,1.31865,0.93175,0.000703,0.000703,0.000703
20,523.339,1.99267,1.09184,0.89052,0.7389,0.55924,0.58454,0.20402,2.34863,1.28633,0.95355,0.0006865,0.0006865,0.0006865
21,541.836,2.04751,1.10311,0.90124,0.71714,0.5975,0.61823,0.22778,2.12819,1.18622,0.9357,0.00067,0.00067,0.00067
22,561.231,1.95254,1.055,0.89494,0.70279,0.56815,0.58585,0.21175,2.19218,1.28961,0.93899,0.0006535,0.0006535,0.0006535
23,579.841,1.90136,1.03184,0.88573,0.7151,0.58344,0.60343,0.20633,2.29367,1.26226,0.94443,0.000637,0.000637,0.000637
24,601.172,1.94248,1.08392,0.87734,0.6786,0.58097,0.57819,0.20227,2.26723,1.198,0.94809,0.0006205,0.0006205,0.0006205
25,628.338,1.90269,1.02047,0.88963,0.71047,0.58089,0.5835,0.20905,2.25242,1.18998,0.9408,0.000604,0.000604,0.000604
26,659.509,1.95764,1.07126,0.89257,0.67875,0.58471,0.56148,0.19148,2.34775,1.25647,0.95059,0.0005875,0.0005875,0.0005875
27,690.289,1.90994,1.01999,0.87993,0.69832,0.61019,0.59845,0.20805,2.32046,1.27882,0.9437,0.000571,0.000571,0.000571
28,721.755,1.90486,1.00543,0.88006,0.66757,0.58981,0.5789,0.2057,2.30331,1.38022,0.93416,0.0005545,0.0005545,0.0005545
29,753.257,1.89889,1.00972,0.87918,0.65721,0.58373,0.57284,0.21366,2.17462,1.20493,0.93236,0.000538,0.000538,0.000538
30,784.009,1.8927,0.9873,0.87956,0.72647,0.58089,0.5973,0.20147,2.29806,1.20228,0.93454,0.0005215,0.0005215,0.0005215
31,815.569,1.84933,0.95694,0.87758,0.73512,0.6,0.62871,0.23868,2.10141,1.15754,0.9205,0.000505,0.000505,0.000505
32,834.661,1.82184,0.968,0.86535,0.74505,0.61797,0.63891,0.2332,2.13992,1.17743,0.93313,0.0004885,0.0004885,0.0004885
33,853.74,1.89051,1.0075,0.88133,0.70799,0.59611,0.61743,0.22449,2.16538,1.22239,0.93409,0.000472,0.000472,0.000472
34,872.826,1.86298,0.97395,0.8835,0.76823,0.62293,0.66332,0.24826,2.06405,1.09687,0.937,0.0004555,0.0004555,0.0004555
35,891.59,1.90405,1.00084,0.8712,0.70525,0.59236,0.58973,0.20654,2.15562,1.13026,0.92879,0.000439,0.000439,0.000439
36,910.894,1.79643,0.96375,0.86345,0.72821,0.58344,0.62159,0.22831,2.05714,1.19399,0.9334,0.0004225,0.0004225,0.0004225
37,931.689,1.80956,0.96107,0.87096,0.74549,0.59745,0.62529,0.22817,2.08846,1.13916,0.93628,0.000406,0.000406,0.000406
38,951.831,1.8151,0.95748,0.87275,0.74154,0.60764,0.65138,0.24443,2.0247,1.19957,0.93323,0.0003895,0.0003895,0.0003895
39,983.863,1.76588,0.89204,0.86143,0.73018,0.59294,0.63332,0.23963,2.07902,1.1043,0.92846,0.000373,0.000373,0.000373
40,1014.36,1.73871,0.88936,0.86261,0.74356,0.62791,0.66413,0.24286,2.04715,1.13968,0.92529,0.0003565,0.0003565,0.0003565
41,1046.16,1.79179,0.89765,0.86496,0.74387,0.6293,0.67305,0.26088,2.06857,1.08708,0.92902,0.00034,0.00034,0.00034
42,1078.28,1.76545,0.93518,0.86386,0.71548,0.62293,0.63102,0.22866,2.10788,1.12226,0.92797,0.0003235,0.0003235,0.0003235
43,1109.44,1.72604,0.91397,0.85712,0.7441,0.61489,0.65764,0.24209,2.05899,1.12349,0.93321,0.000307,0.000307,0.000307
