epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1688,4.8676,196.538,1.89179,0.00057,0.01146,0.00029,9e-05,3.72263,58.8615,1.24918,0.08911,0.00011,0.00011
2,36.7814,4.11066,53.6421,1.50501,0.2567,0.1047,0.06002,0.01393,3.38389,2.88356,1.1612,0.0772254,0.000225446,0.000225446
3,55.8325,2.8669,2.32841,1.04386,0.31903,0.32866,0.20494,0.05808,2.88341,3.50202,1.02049,0.0653361,0.00033614,0.00033614
4,73.7907,2.57041,1.84428,0.99357,0.35202,0.33885,0.22384,0.0565,2.91346,7.59381,1.0472,0.0534421,0.000442082,0.000442082
5,91.1826,2.45063,1.69332,0.97121,0.40789,0.39363,0.27754,0.07143,2.98573,4.47426,1.05251,0.0415433,0.000543272,0.000543272
6,109.669,2.42055,1.75967,0.95762,0.46756,0.54013,0.3893,0.11626,2.5965,2.67045,0.97766,0.0296397,0.00063971,0.00063971
7,135.114,2.30517,1.57475,0.9431,0.45425,0.44459,0.36564,0.09849,2.66798,2.25378,0.99601,0.0177314,0.000731396,0.000731396
8,166.317,2.25028,1.54306,0.93251,0.46791,0.4586,0.35403,0.10071,2.55731,1.7362,0.96475,0.00581833,0.00081833,0.00081833
9,196.315,2.24531,1.47326,0.93758,0.52232,0.51083,0.43381,0.1257,2.48271,2.12555,0.97838,0.0008416,0.0008416,0.0008416
10,227.081,2.25041,1.36251,0.93329,0.64876,0.52484,0.50147,0.13884,2.51597,1.49646,0.9532,0.0008218,0.0008218,0.0008218
11,256.877,2.22222,1.36613,0.91542,0.64928,0.56127,0.54786,0.17704,2.29797,1.37022,0.93975,0.000802,0.000802,0.000802
12,285.287,2.1786,1.40083,0.92483,0.61653,0.51613,0.48434,0.14601,2.43914,1.87533,0.93952,0.0007822,0.0007822,0.0007822
13,315.534,2.14903,1.319,0.90768,0.59334,0.52994,0.49005,0.15517,2.31263,1.49647,0.94921,0.0007624,0.0007624,0.0007624
14,346.462,2.11244,1.24682,0.9195,0.60266,0.53885,0.47069,0.14697,2.47753,1.64022,0.95297,0.0007426,0.0007426,0.0007426
15,368.591,2.11184,1.27745,0.91008,0.65195,0.54165,0.5163,0.16985,2.25131,1.44891,0.93694,0.0007228,0.0007228,0.0007228
16,386.487,2.05098,1.19096,0.90985,0.68052,0.49385,0.52003,0.17095,2.42647,1.3986,0.96465,0.000703,0.000703,0.000703
17,403.964,2.09257,1.23013,0.91158,0.66103,0.54156,0.5611,0.19196,2.2746,1.31062,0.94452,0.0006832,0.0006832,0.0006832
18,420.401,2.02908,1.16549,0.8994,0.66359,0.54522,0.54746,0.178,2.31069,1.26734,0.94194,0.0006634,0.0006634,0.0006634
19,435.356,2.0581,1.29316,0.91553,0.67596,0.53413,0.56304,0.17771,2.34743,1.37958,0.95694,0.0006436,0.0006436,0.0006436
20,447.115,2.01294,1.19411,0.89656,0.69206,0.50318,0.52333,0.17365,2.39295,1.41105,0.93758,0.0006238,0.0006238,0.0006238
21,458.669,2.06935,1.20425,0.89906,0.62569,0.58089,0.56182,0.18605,2.33474,1.21914,0.94309,0.000604,0.000604,0.000604
