epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,511.882,2.1407,1.32207,0.89478,0.70789,0.53376,0.58039,0.20245,2.18695,1.26875,0.93275,0.000581,0.000581,0.000581
45,519.548,2.18788,1.23225,0.9037,0.71709,0.53248,0.57785,0.19935,2.17013,1.31127,0.92871,0.000548,0.000548,0.000548
46,527.65,2.19619,1.28792,0.89649,0.69234,0.53376,0.57614,0.19836,2.17437,1.30347,0.92529,0.000515,0.000515,0.000515
47,535.209,2.0867,1.28088,0.89603,0.68712,0.52229,0.55908,0.19281,2.17481,1.31375,0.9334,0.000482,0.000482,0.000482
48,542.934,2.09019,1.2345,0.87727,0.69808,0.51847,0.58101,0.19904,2.2008,1.27889,0.92718,0.000449,0.000449,0.000449
49,550.882,2.09488,1.23158,0.88786,0.66996,0.53758,0.58129,0.20874,2.15137,1.25408,0.92806,0.000416,0.000416,0.000416
50,558.618,2.08604,1.25128,0.89037,0.66522,0.52994,0.55183,0.18608,2.22567,1.26525,0.94666,0.000383,0.000383,0.000383
51,571.085,2.0597,1.27105,0.87887,0.67847,0.52229,0.55311,0.18795,2.27008,1.30897,0.94776,0.00035,0.00035,0.00035
52,579.239,2.01301,1.19803,0.90051,0.67219,0.50936,0.54716,0.19514,2.1935,1.32315,0.93786,0.000317,0.000317,0.000317
53,595.371,2.05115,1.21215,0.87714,0.66522,0.52651,0.55992,0.19807,2.16364,1.29663,0.93029,0.000284,0.000284,0.000284
54,608.57,1.98345,1.16985,0.87749,0.6524,0.55287,0.5828,0.20525,2.15996,1.28732,0.92962,0.000251,0.000251,0.000251
55,621.584,1.97853,1.19915,0.88647,0.68301,0.54073,0.58154,0.19849,2.19193,1.28783,0.93388,0.000218,0.000218,0.000218
56,637.129,1.99862,1.1893,0.89576,0.72201,0.53931,0.57972,0.19983,2.20117,1.3081,0.93089,0.000185,0.000185,0.000185
57,652.397,1.97237,1.14051,0.87275,0.70904,0.54395,0.59564,0.20679,2.1793,1.27327,0.93066,0.000152,0.000152,0.000152
58,666.09,1.9519,1.15533,0.88768,0.70989,0.53758,0.59008,0.2122,2.15783,1.28691,0.92977,0.000119,0.000119,0.000119
59,678.991,1.97107,1.14029,0.88086,0.74012,0.51847,0.58753,0.20864,2.16003,1.28193,0.92775,8.6e-05,8.6e-05,8.6e-05
60,694.508,1.94951,1.11622,0.89342,0.73028,0.51975,0.59311,0.21117,2.16719,1.27744,0.92622,5.3e-05,5.3e-05,5.3e-05
